sku,producto,categoria,precio,precio_lista,stock,url,descripcion
34835,"ACEITE DE GIRASOL LEGITIMO X 1,5 Lts",308,403.1,403.1,984,https://www.hiperlibertad.com.ar/aceite-de-girasol-legitimo-x-1-5-lts/p,"ACEITE DE GIRASOL LEGITIMO X 1,5 Lts"
34868,ACEITE GIRASOL LEGITIMO X900ML,308,252.3,252.3,2009,https://www.hiperlibertad.com.ar/aceite-de-girasol-legitimo-x-900-ml/p,ACEITE GIRASOL LEGITIMO X900ML
5930,Azucar Azucel 1 Kilo,337,232.99,232.99,3833,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,Azucar Azucel 1 Kilo
12864,Cerveza Heineken Lata 473 Ml,16,378.0,378.0,20239,https://www.hiperlibertad.com.ar/cerveza-heineken-lata-473-ml/p,Cerveza Heineken Lata 473 Ml
30078,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,516,356.0,356.0,9302,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U
17582,MILANESA DE NALGA DE NOVILLO x 500 g,588,511.2,639.0,2500,https://www.hiperlibertad.com.ar/milanesa-de-nalga-de-novillo-x-500-g/p,MILANESA DE NALGA DE NOVILLO x 500 g
3184,Pure De Tomate Marolio 520 Gr,335,130.0,130.0,77,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,Pure De Tomate Marolio 520 Gr
2110,"Gaseosa Coca-Cola Sabor Original 1,5 Lt",22,226.0,226.0,629,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-1-5-lt/p,"Nada supera el sabor de una Coca-Cola. Diseñado para acompañar cada momento, el sabor de la Coca-Cola es un clásico que perdura desde hace más de 130 años. Deliciosa y refrescante."
4019,HARINA CANUELAS 000 X1KG,357,166.99,166.99,5583,https://www.hiperlibertad.com.ar/harina-000-ca-uelas-1kg/p,HARINA CANUELAS 000 X1KG
36679,MOSTAZA SAVORA ORIGINAL X 500 Gr,322,368.99,368.99,156,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,MOSTAZA SAVORA ORIGINAL X 500 Gr
36086,CHOCLO AMARILLO TARRAGONA EN GRANOS X 340 Gr,332,209.99,209.99,164,https://www.hiperlibertad.com.ar/choclo-amarillo-tarragona-en-granos-x-340-gr/p,CHOCLO AMARILLO TARRAGONA EN GRANOS X 340 Gr
36120,Arvejas Montenevi x 340 Gr,332,69.99,69.99,436,https://www.hiperlibertad.com.ar/arvejas-montenevi-x-340-gr/p,Arvejas Montenevi x 340 Gr
35777,KETCHUP HELLMANNS X 250 Gr,321,280.99,280.99,75,https://www.hiperlibertad.com.ar/ketchup-hellmanns-x-250-gr/p,KETCHUP HELLMANNS X 250 Gr
30332,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr,341,250.0,250.0,336,https://www.hiperlibertad.com.ar/galletas-terrabusi-variedad-mix-x-390-gr/p,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr
29752,Jabón Líquido para Diluir SKIP Bio-Enzimas Tecnologia superior en limpieza y cuidado 500 ml,480,1457.0,1457.0,5060,https://www.hiperlibertad.com.ar/jab-n-l-quido-para-diluir-skip-bio-enzimas-tecnologia-superior-en-limpieza-y-cuidado-500-ml/p,"El nuevo jabón líquido Skip para Diluir Bio-Enzimas, tiene una nueva tecnología que garantiza la superioridad en la limpieza y cuidado de las fibras, asegurando un impacto positivo en el planeta.
El nuevo Skip líquido para diluir ofrece el mismo cuidado de siempre pero de una forma más conveniente para el consumidor:
 - MÁS ECONÓMICO: 
             20% de ahorro por lavado.
 - MÁS PRÁCTICO:
             No requiere cambios en la dosificación.
             Es más facil de transportar y almacenar. 
 - MÁS ECOLÓGICO: 
             Fórmula con Activo biodegradable. Menos uso de plástico Botella hecha con plástico reciclado y 100% reciclable. Skip está en constante evolución para ofrecer la mejor tecnología en el lavado y cuidado de la ropa.                                                          Además, colores más vivos y duraderos, previene pelotitas, elimina manchas y cuida texturas.                                                                                                                                                                                                                    
  Las nuevas tecnologías de los jabones líquidos Skip nos ayudan a consumir inteligentemente, optimizando el uso de energía, disminuyendo residuos e incluso siendo más económico. Y Skip siendo líder en innovación tecnológica tiene credenciales para este lanzamiento. ¿Cómo se utiliza? 1) Coloque agua corriente hasta la marca (2,5 litros) en una botella vacía de Skip 3L 2) Coloque todo el contenido (500 ml) del Jabón líquido Skip para diluir dentro de la botella de 3 L. 3) Cierre la botella y agite hasta lograr una apariencia uniforme (aproximadamente 5 veces). Deje reposar unos minutos hasta que baje la espuma. 4) Dosifique 100?ml para una carga de ropa completa o 150 ml para ropa muy sucia. 500 ml rinde 3L (30 lavados). El lavado perfecto de tu ropa es muy simple."
28692,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts,516,794.99,794.99,1199,https://www.hiperlibertad.com.ar/papel-higienico-higienol-max-simple-hoja-4-x-80-mts/p,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts
27757,LIMPIADOR EN CREMA CIF BIO ACTIVE ORIGINAL X 500 ml,507,378.0,378.0,817,https://www.hiperlibertad.com.ar/limpiador-en-crema-cif-bio-active-original-x-500-ml/p,LIMPIADOR EN CREMA CIF BIO ACTIVE ORIGINAL X 500 ml
28781,CALDO KNORR VERDURAS DESHIDRATADO X 12 U,327,199.99,199.99,449,https://www.hiperlibertad.com.ar/caldo-knorr-verduras-deshidratado-x-12-u/p,CALDO KNORR VERDURAS DESHIDRATADO X 12 U
26297,CBO FERNET + COCA COLA 2.25L NEA-NOA,13,2010.0,2010.0,1512,https://www.hiperlibertad.com.ar/fernet-coca/p,CBO FERNET + COCA COLA 2.25L NEA-NOA
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,12590,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
24867,CERVEZA STELLA ARTOIS SIXPACK 473 CC,16,1635.89,2336.99,270,https://www.hiperlibertad.com.ar/cerveza-stella-artois-sixpack-473cc/p,CERVEZA STELLA ARTOIS SIXPACK 473 CC
27732,PROVENZAL ALICANTE X 25 Gr,383,208.0,208.0,1221,https://www.hiperlibertad.com.ar/provenzal-alicante-x-25-gr/p,PROVENZAL ALICANTE X 25 Gr
19042,LAVANDINA AYUDÍN CLÁSICA 1L,496,134.99,134.99,25,https://www.hiperlibertad.com.ar/lavandina-ayudin-clasica-1l/p,LAVANDINA AYUDÍN CLÁSICA 1L
17579,COSTELETA DE CERDO x 500 g,589,569.0,569.0,19,https://www.hiperlibertad.com.ar/costeleta-de-cerdo-x-500-g/p,COSTELETA DE CERDO x 500 g
17594,VACÍO DE NOVILLO x 1 kg,588,1299.0,1299.0,69,https://www.hiperlibertad.com.ar/vacio-de-novillo-x-1-kg/p,VACÍO DE NOVILLO x 1 kg
