sku,producto,categoria,precio,precio_lista,stock,url,descripcion
33136,ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS,517,372.99,372.99,782,https://www.hiperlibertad.com.ar/rollos-de-cocina-sussex-clasico-3-x-50-pa-os/p,ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS
8250,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,399,199.49,199.49,4237,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L
31074,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,341,225.0,225.0,87,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr
30332,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr,341,250.0,250.0,112,https://www.hiperlibertad.com.ar/galletas-terrabusi-variedad-mix-x-390-gr/p,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr
30078,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,516,356.0,356.0,108,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U
29112,DULCE DE LECHE CLÁSICO ILOLAY X 405 Gr,396,299.99,299.99,133,https://www.hiperlibertad.com.ar/dulce-de-leche-cl-sico-ilolay-x-405-gr/p,DULCE DE LECHE CLÁSICO ILOLAY X 405 Gr
23514,QUESO DAMBO TREGARX250GR,577,325.9,325.9,206,https://www.hiperlibertad.com.ar/queso-dambo-tregarx250gr/p,QUESO DAMBO TREGARX250GR
23431,JAMON COCIDO LARIO X200G,580,333.9,333.9,525,https://www.hiperlibertad.com.ar/jamon-cocido-lario-x200g/p,JAMON COCIDO LARIO X200G
24806,CREMA DOBLE TREGAR 350 GRS,527,356.99,356.99,188,https://www.hiperlibertad.com.ar/crema-doble-tregar-350-grs/p,CREMA DOBLE TREGAR 350 GRS
17611,SUPREMA DE POLLO FRESCA X 1 KG,590,999.0,999.0,70,https://www.hiperlibertad.com.ar/suprema-de-pollo-fresca-x-1-kg/p,SUPREMA DE POLLO FRESCA X 1 KG
16055,YERBA MAÑANITA 4 FLEX 500 GRS,346,489.0,489.0,2445,https://www.hiperlibertad.com.ar/yerba-mananita-4-flex-500-grs/p,YERBA MAÑANITA 4 FLEX 500 GRS
