sku,producto,categoria,precio,precio_lista,stock,url,descripcion
31074,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,341,225.0,225.0,224,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr
22665,LECHE LS PD ZERO LCT PET 1L,399,382.99,382.99,603,https://www.hiperlibertad.com.ar/leche-ls-pd-zero-lct-pet-1l/p,LECHE LS PD ZERO LCT PET 1L
8250,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,399,199.49,199.49,1583,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L
4114,Gaseosa Coca-Cola Sabor Original 3 Lt,22,577.99,577.99,79,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-3-lt/p,Gaseosa Coca Cola 3 lt
4019,HARINA CANUELAS 000 X1KG,357,166.99,166.99,1064,https://www.hiperlibertad.com.ar/harina-000-ca-uelas-1kg/p,HARINA CANUELAS 000 X1KG
30078,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,516,356.0,356.0,4498,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,2425,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
24628,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,339,659.0,659.0,20,https://www.hiperlibertad.com.ar/cafe-nescafe-dolca-suave-aroma-x-170-gr-2/p,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr
19062,Té TARAGUI x 50u,345,243.99,243.99,228,https://www.hiperlibertad.com.ar/te-taragui-x-50u/p,Té TARAGUI x50u.
17800,LECHE LA SERENÍSIMA PROTEIN UAT 0% PET 1L,399,348.99,348.99,169,https://www.hiperlibertad.com.ar/leche-la-serenisima-protein-uat-0-pet-1l/p,LECHE LA SERENÍSIMA PROTEIN UAT 0% PET 1L
10350,Aceite Pureza Girasol 900 cc,308,665.99,665.99,2084,https://www.hiperlibertad.com.ar/aceite-pureza-girasol-900-cc/p,Aceite Pureza Girasol 900 cc
7125,Cerveza Rubia Corona Pack 10 latas 269 cc c/u,16,2949.0,2949.0,147,https://www.hiperlibertad.com.ar/cerveza-rubia-corona-pack-10-latas-269-cc-c-u/p,Cerveza Rubia Corona Pack 10 latas 269 cc c/u
21942,MANTECA COTAMPO X 200 GR,535,216.0,216.0,66,https://www.hiperlibertad.com.ar/manteca-cotampo-x-200-gr/p,MANTECA COTAMPO X 200 GR
4726,Gaseosa Pepsi cola 3 l.,22,501.99,501.99,210,https://www.hiperlibertad.com.ar/gaseosa-pepsi-cola-3-l/p,Gaseosa PEPSI  3 L
3093,PEPSI        L X354ML,22,143.0,143.0,1599,https://www.hiperlibertad.com.ar/gaseosa-pepsi-cola-354-cc/p,Gaseosa Pepsi cola 354 Cc
11257,"Gaseosa Coca-Cola Sabor Original 2,25 Lt",22,464.0,464.0,325,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-2-25-lt/p,"Nada supera el sabor de una Coca-Cola. Diseñado para acompañar cada momento, el sabor de la Coca-Cola es un clásico que perdura desde hace más de 130 años. Deliciosa y refrescante."
12864,Cerveza Heineken Lata 473 Ml,16,384.0,384.0,1697,https://www.hiperlibertad.com.ar/cerveza-heineken-lata-473-ml/p,Cerveza Heineken Lata 473 Ml
36679,MOSTAZA SAVORA ORIGINAL X 500 Gr,322,368.99,368.99,748,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,MOSTAZA SAVORA ORIGINAL X 500 Gr
36514,GALLETAS CHOCOLINAS CHOCOLATE X 262 Gr,341,339.34,339.34,897,https://www.hiperlibertad.com.ar/galletas-chocolinas-chocolate-x-262-gr/p,GALLETAS CHOCOLINAS CHOCOLATE X 262 Gr
37265,CERVEZA BRAHMA DORADA LATA 6 X 473 CC,16,1021.99,1459.99,474,https://www.hiperlibertad.com.ar/cerveza-brahma-dorada-lata-6-x-473-cc/p,CERVEZA BRAHMA DORADA LATA 6 X 473 CC
