sku,producto,categoria,precio,precio_lista,stock,url,descripcion
8250,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,399,199.49,199.49,5312,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L
5930,Azucar Azucel 1 Kilo,337,232.99,232.99,4705,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,Azucar Azucel 1 Kilo
31074,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,341,225.0,225.0,89,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr
30332,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr,341,250.0,250.0,99,https://www.hiperlibertad.com.ar/galletas-terrabusi-variedad-mix-x-390-gr/p,GALLETAS TERRABUSI VARIEDAD MIX X 390 Gr
3184,Pure De Tomate Marolio 520 Gr,335,130.0,130.0,11,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,Pure De Tomate Marolio 520 Gr
2110,"Gaseosa Coca-Cola Sabor Original 1,5 Lt",22,226.0,226.0,605,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-1-5-lt/p,"Nada supera el sabor de una Coca-Cola. Diseñado para acompañar cada momento, el sabor de la Coca-Cola es un clásico que perdura desde hace más de 130 años. Deliciosa y refrescante."
36679,MOSTAZA SAVORA ORIGINAL X 500 Gr,322,368.99,368.99,45,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,MOSTAZA SAVORA ORIGINAL X 500 Gr
35885,CACAO EN POLVO NESQUIK X 360 Gr,347,628.99,628.99,43,https://www.hiperlibertad.com.ar/cacao-en-polvo-nesquik-x-360-gr/p,CACAO EN POLVO NESQUIK X 360 Gr
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,1823,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
28052,ARROZ MARIA LARGO FINO X 500 Gr,519,71.99,71.99,452,https://www.hiperlibertad.com.ar/arroz-maria-largo-fino-x-500-gr/p,ARROZ MARIA LARGO FINO X 500 Gr
24628,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,339,659.0,659.0,120,https://www.hiperlibertad.com.ar/cafe-nescafe-dolca-suave-aroma-x-170-gr-2/p,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr
23431,JAMON COCIDO LARIO X200G,580,333.9,333.9,485,https://www.hiperlibertad.com.ar/jamon-cocido-lario-x200g/p,JAMON COCIDO LARIO X200G
22665,LECHE LS PD ZERO LCT PET 1L,399,382.99,382.99,806,https://www.hiperlibertad.com.ar/leche-ls-pd-zero-lct-pet-1l/p,LECHE LS PD ZERO LCT PET 1L
21647,LECHE LA SERENÍSIMA UAT PARCIALMENTE DESCR. 1%  X 1L,399,180.0,180.0,2735,https://www.hiperlibertad.com.ar/leche-la-serenisima-uat-parcialmente-descr-1-x-1l/p,LECHE LA SERENÍSIMA UAT PARCIALMENTE DESCR. 1%  X 1L
25842,PH.ELITE.EXTRA SHX6UX30M.-,516,512.99,512.99,1432,https://www.hiperlibertad.com.ar/ph-elite-extra-shx6ux30m/p,PH.ELITE.EXTRA SHX6UX30M.-
17579,COSTELETA DE CERDO x 500 g,589,569.0,569.0,28,https://www.hiperlibertad.com.ar/costeleta-de-cerdo-x-500-g/p,COSTELETA DE CERDO x 500 g
17612,"POLLO FRESCO X UN. (APROX. 2,5KG)",590,1047.5,1047.5,398,https://www.hiperlibertad.com.ar/pollo-fresco-x-un-aprox-2-5kg/p,"POLLO FRESCO X UN. (APROX. 2,5KG)"
10350,Aceite Pureza Girasol 900 cc,308,665.99,665.99,1536,https://www.hiperlibertad.com.ar/aceite-pureza-girasol-900-cc/p,Aceite Pureza Girasol 900 cc
10352,Aceite Lira de Girasol 900 cc,308,459.99,459.99,1908,https://www.hiperlibertad.com.ar/aceite-lira-de-girasol-900-cc/p,Aceite Lira de Girasol 900 cc
7125,Cerveza Rubia Corona Pack 10 latas 269 cc c/u,16,2949.0,2949.0,137,https://www.hiperlibertad.com.ar/cerveza-rubia-corona-pack-10-latas-269-cc-c-u/p,Cerveza Rubia Corona Pack 10 latas 269 cc c/u
16569,Cerveza Warsteiner 473 Ml,16,182.0,182.0,209,https://www.hiperlibertad.com.ar/cerveza-warsteiner-473-ml/p,Cerveza Warsteiner 473 Ml
2994,LECHE LS UAT ENT 3% BRIK,399,180.0,180.0,1707,https://www.hiperlibertad.com.ar/leche-entera-clasica-la-serenisima-larga-vida-1l/p,LECHE LS UAT ENT 3% BRIK
4470,Fideos Ricatto Largo 500 Gr,374,101.56,101.56,1112,https://www.hiperlibertad.com.ar/fideos-ricatto-largo-500-gr/p,Fideos Ricatto Largo 500 Gr
5677,Leche Entera C/Calcio LA LACTEO Larga Vida 1 L,399,192.0,192.0,3708,https://www.hiperlibertad.com.ar/leche-entera-c-calcio-la-lacteo-larga-vida-1-l/p,Leche Entera C/Calcio LA LACTEO Larga Vida 1 L
4767,"Gaseosa Coca-Cola Sin Azúcar 2,25 Lt",22,464.0,464.0,626,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sin-azucar-2-25-lt/p,"Gaseosa Coca Cola Sin Azucar 2,25 lt"
4204,Dulce de Leche Clasico Manfrey 400 Gr,396,250.0,250.0,746,https://www.hiperlibertad.com.ar/dulce-de-leche-clasico-manfrey-400-gr/p,Dulce de Leche Clasico Manfrey 400 Gr
7430,Galletitas Mediatarde 321 Gr,342,123.07,123.07,37,https://www.hiperlibertad.com.ar/galletitas-mediatarde-321-gr/p,Galletitas Mediatarde 321 Gr
12864,Cerveza Heineken Lata 473 Ml,16,376.0,376.0,4567,https://www.hiperlibertad.com.ar/cerveza-heineken-lata-473-ml/p,Cerveza Heineken Lata 473 Ml
4019,HARINA CANUELAS 000 X1KG,357,166.99,166.99,2395,https://www.hiperlibertad.com.ar/harina-000-ca-uelas-1kg/p,HARINA CANUELAS 000 X1KG
36086,CHOCLO AMARILLO TARRAGONA EN GRANOS X 340 Gr,332,209.99,209.99,599,https://www.hiperlibertad.com.ar/choclo-amarillo-tarragona-en-granos-x-340-gr/p,CHOCLO AMARILLO TARRAGONA EN GRANOS X 340 Gr
36120,Arvejas Montenevi x 340 Gr,332,69.99,69.99,68,https://www.hiperlibertad.com.ar/arvejas-montenevi-x-340-gr/p,Arvejas Montenevi x 340 Gr
34671,REPELENTE DE MOSQUITOS OFF FAMILY AEROSOL X 170 Ml,493,481.99,481.99,1555,https://www.hiperlibertad.com.ar/repelente-de-mosquitos-off-family-aerosol-x-170-ml/p,REPELENTE DE MOSQUITOS OFF FAMILY AEROSOL X 170 Ml
37252,GALLETAS SURTIDO BAGLEY X 390 Gr,341,416.03,416.03,660,https://www.hiperlibertad.com.ar/galletas-surtido-bagley-x-390-gr/p,GALLETAS SURTIDO BAGLEY X 390 Gr
31069,LECHE RECORD PARCIALMENTE DESCREMADA LARGA VIDA X 1 L,399,137.0,137.0,785,https://www.hiperlibertad.com.ar/leche-record-parcialmente-descremada-larga-vida-x-1-l/p,LECHE RECORD PARCIALMENTE DESCREMADA LARGA VIDA X 1 L
