sku,producto,categoria,precio,precio_lista,stock,url,descripcion
5930,Azucar Azucel 1 Kilo,337,232.99,232.99,2323,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,Azucar Azucel 1 Kilo
31074,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,341,225.0,225.0,542,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr
10350,Aceite Pureza Girasol 900 cc,308,665.99,665.99,277,https://www.hiperlibertad.com.ar/aceite-pureza-girasol-900-cc/p,Aceite Pureza Girasol 900 cc
8250,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,399,199.49,199.49,7712,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L
4114,Gaseosa Coca-Cola Sabor Original 3 Lt,22,582.99,582.99,87,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-3-lt/p,Gaseosa Coca Cola 3 lt
36679,MOSTAZA SAVORA ORIGINAL X 500 Gr,322,368.99,368.99,351,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,MOSTAZA SAVORA ORIGINAL X 500 Gr
29752,Jabón Líquido para Diluir SKIP Bio-Enzimas Tecnologia superior en limpieza y cuidado 500 ml,480,1457.0,1457.0,667,https://www.hiperlibertad.com.ar/jab-n-l-quido-para-diluir-skip-bio-enzimas-tecnologia-superior-en-limpieza-y-cuidado-500-ml/p,"El nuevo jabón líquido Skip para Diluir Bio-Enzimas, tiene una nueva tecnología que garantiza la superioridad en la limpieza y cuidado de las fibras, asegurando un impacto positivo en el planeta.
El nuevo Skip líquido para diluir ofrece el mismo cuidado de siempre pero de una forma más conveniente para el consumidor:
 - MÁS ECONÓMICO: 
             20% de ahorro por lavado.
 - MÁS PRÁCTICO:
             No requiere cambios en la dosificación.
             Es más facil de transportar y almacenar. 
 - MÁS ECOLÓGICO: 
             Fórmula con Activo biodegradable. Menos uso de plástico Botella hecha con plástico reciclado y 100% reciclable. Skip está en constante evolución para ofrecer la mejor tecnología en el lavado y cuidado de la ropa.                                                          Además, colores más vivos y duraderos, previene pelotitas, elimina manchas y cuida texturas.                                                                                                                                                                                                                    
  Las nuevas tecnologías de los jabones líquidos Skip nos ayudan a consumir inteligentemente, optimizando el uso de energía, disminuyendo residuos e incluso siendo más económico. Y Skip siendo líder en innovación tecnológica tiene credenciales para este lanzamiento. ¿Cómo se utiliza? 1) Coloque agua corriente hasta la marca (2,5 litros) en una botella vacía de Skip 3L 2) Coloque todo el contenido (500 ml) del Jabón líquido Skip para diluir dentro de la botella de 3 L. 3) Cierre la botella y agite hasta lograr una apariencia uniforme (aproximadamente 5 veces). Deje reposar unos minutos hasta que baje la espuma. 4) Dosifique 100?ml para una carga de ropa completa o 150 ml para ropa muy sucia. 500 ml rinde 3L (30 lavados). El lavado perfecto de tu ropa es muy simple."
28692,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts,516,794.99,794.99,1762,https://www.hiperlibertad.com.ar/papel-higienico-higienol-max-simple-hoja-4-x-80-mts/p,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts
27606,SUAVIZANTE DOWNY ADMIRABLE X 500 Ml,481,778.0,778.0,29,https://www.hiperlibertad.com.ar/suavizante-downy-admirable-x-500-ml/p,SUAVIZANTE DOWNY ADMIRABLE X 500 Ml
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,767,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
28849,LECHE ILOLAY LARGA VIDA ENTERA X 1 L,399,198.99,198.99,1545,https://www.hiperlibertad.com.ar/leche-ilolay-larga-vida-entera-x-1-l/p,LECHE ILOLAY LARGA VIDA ENTERA X 1 L
22665,LECHE LS PD ZERO LCT PET 1L,399,382.99,382.99,475,https://www.hiperlibertad.com.ar/leche-ls-pd-zero-lct-pet-1l/p,LECHE LS PD ZERO LCT PET 1L
31377,COMBO ASADO X 2.5KG,588,2747.5,2747.5,438,https://www.hiperlibertad.com.ar/combo-asado-x-un/p,"EL COMBO INCLUYE 1KG DE COSTILLA, 800GR DE VACÍO Y 700GR DE MATAMBRE"
17730,MATECOCIDO TARAGUI S/E DIA 50 SAQUITOS,346,370.0,370.0,1268,https://www.hiperlibertad.com.ar/matecocido-taragui-s-e-dia-50-saquitos/p,MATECOCIDO TARAGUI S/E DIA 50 SAQUITOS
17612,"POLLO FRESCO X UN. (APROX. 2,5KG)",590,1047.5,1047.5,323,https://www.hiperlibertad.com.ar/pollo-fresco-x-un-aprox-2-5kg/p,"POLLO FRESCO X UN. (APROX. 2,5KG)"
18017,ATUN DESMENUZADONATURAL.LC.24X170,334,392.99,392.99,50,https://www.hiperlibertad.com.ar/atun-desmenuzadonatural-lc-24x170/p,ATUN DESMENUZADONATURAL.LC.24X170
