sku,producto,categoria,precio,precio_lista,stock,url,descripcion
24199,COMBO FERNET BRANCA X 750 ML + COCA COLA REGULAR X 2.5 LTS,22,2010.0,2010.0,1659,https://www.hiperlibertad.com.ar/combo-fernet-branca-x750ml-cocacola-regular-x2-5lts/p,COMBO FERNET BRANCA X 750 ML + COCA COLA REGULAR X 2.5 LTS
4489,Leche Entera UAT MANFREY Larga Vida 1 L,399,199.49,199.49,11925,https://www.hiperlibertad.com.ar/leche-entera-uat-manfrey-larga-vida-1-l/p,Leche Entera UAT MANFREY Larga Vida 1 L
5930,Azucar Azucel 1 Kilo,337,232.99,232.99,1770,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,Azucar Azucel 1 Kilo
36679,MOSTAZA SAVORA ORIGINAL X 500 Gr,322,368.99,368.99,95,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,MOSTAZA SAVORA ORIGINAL X 500 Gr
35777,KETCHUP HELLMANNS X 250 Gr,321,280.99,280.99,1271,https://www.hiperlibertad.com.ar/ketchup-hellmanns-x-250-gr/p,KETCHUP HELLMANNS X 250 Gr
28285,MAYONESA HELLMANNS CLASICA X 950 Gr,320,499.99,499.99,2253,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-clasica-x-950-gr/p,MAYONESA HELLMANNS CLASICA X 950 Gr
30192,MAYONESA HELLMANNS CLASICA X 237 Gr,320,172.99,172.99,2885,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-clasica-x-237-gr/p,MAYONESA HELLMANNS CLASICA X 237 Gr
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,1170,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
23437,PALETA COCIDAPALADINI  X200GR,580,336.9,336.9,211,https://www.hiperlibertad.com.ar/paleta-cocidapaladini-x200gr/p,PALETA COCIDAPALADINI  X200GR
27732,PROVENZAL ALICANTE X 25 Gr,383,208.0,208.0,1026,https://www.hiperlibertad.com.ar/provenzal-alicante-x-25-gr/p,PROVENZAL ALICANTE X 25 Gr
17579,COSTELETA DE CERDO x 500 g,589,569.0,569.0,9,https://www.hiperlibertad.com.ar/costeleta-de-cerdo-x-500-g/p,COSTELETA DE CERDO x 500 g
17596,BOCADO SIN HUESO NOVILLO x 500 g,588,399.0,399.0,64,https://www.hiperlibertad.com.ar/bocado-sin-hueso-novillo-x-500-g/p,BOCADO SIN HUESO NOVILLO x 500 g
17602,COSTILLA DE NOVILLO x 1 kg,588,829.0,829.0,1426,https://www.hiperlibertad.com.ar/costilla-de-novillo-x-1-kg/p,COSTILLA DE NOVILLO x 1 kg
17582,MILANESA DE NALGA DE NOVILLO x 500 g,588,511.2,639.0,1277,https://www.hiperlibertad.com.ar/milanesa-de-nalga-de-novillo-x-500-g/p,MILANESA DE NALGA DE NOVILLO x 500 g
17611,SUPREMA DE POLLO FRESCA X 1 KG,590,799.2,999.0,9,https://www.hiperlibertad.com.ar/suprema-de-pollo-fresca-x-1-kg/p,SUPREMA DE POLLO FRESCA X 1 KG
16055,YERBA MAÑANITA 4 FLEX 500 GRS,346,489.0,489.0,3650,https://www.hiperlibertad.com.ar/yerba-mananita-4-flex-500-grs/p,YERBA MAÑANITA 4 FLEX 500 GRS
14989,YERBA UNIÓN 4 FLEX X 500 GRS,346,489.0,489.0,1167,https://www.hiperlibertad.com.ar/yerba-union-4-flex-x-500-grs/p,YERBA UNIÓN 4 FLEX X 500 GRS
10350,Aceite Pureza Girasol 900 cc,308,665.99,665.99,189,https://www.hiperlibertad.com.ar/aceite-pureza-girasol-900-cc/p,Aceite Pureza Girasol 900 cc
10352,Aceite Lira de Girasol 900 cc,308,459.99,459.99,782,https://www.hiperlibertad.com.ar/aceite-lira-de-girasol-900-cc/p,Aceite Lira de Girasol 900 cc
1115,Cerveza Andes Origen Rubia 473Cc x6,16,1920.99,1920.99,261,https://www.hiperlibertad.com.ar/cerveza-andes-origen-rubia-473cc-x6/p,"Andes Origen Rubia es una cerveza de receta mendocina. Se recomienda servir en copa. Está hecha con pura malta tostada a fuego lento, que ofrece colores y texturas bien distintivas. Probalas, hay una rubia, una roja y una negra."
8250,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,399,199.49,199.49,8274,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L
3184,Pure De Tomate Marolio 520 Gr,335,130.0,130.0,1670,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,Pure De Tomate Marolio 520 Gr
9801,Salchichas Paladini x 12 un,581,478.0,478.0,149,https://www.hiperlibertad.com.ar/salchichas-paladini-x-12-un/p,Salchichas Paladini x 12 un
12864,Cerveza Heineken Lata 473 Ml,16,394.0,394.0,642,https://www.hiperlibertad.com.ar/cerveza-heineken-lata-473-ml/p,Cerveza Heineken Lata 473 Ml
4019,HARINA CANUELAS 000 X1KG,357,166.99,166.99,2349,https://www.hiperlibertad.com.ar/harina-000-ca-uelas-1kg/p,HARINA CANUELAS 000 X1KG
3893,"Gaseosa Coca-Cola Sabor Original 2,5 Lt",22,477.0,477.0,1333,https://www.hiperlibertad.com.ar/gaseosa-coca-cola-sabor-original-2-5-lt-2/p,"Gaseosa Coca Cola 2,5 lt"
36514,GALLETAS CHOCOLINAS CHOCOLATE X 262 Gr,341,339.34,339.34,4098,https://www.hiperlibertad.com.ar/galletas-chocolinas-chocolate-x-262-gr/p,GALLETAS CHOCOLINAS CHOCOLATE X 262 Gr
36120,Arvejas Montenevi x 340 Gr,332,69.99,69.99,218,https://www.hiperlibertad.com.ar/arvejas-montenevi-x-340-gr/p,Arvejas Montenevi x 340 Gr
37252,GALLETAS SURTIDO BAGLEY X 390 Gr,341,416.03,416.03,2639,https://www.hiperlibertad.com.ar/galletas-surtido-bagley-x-390-gr/p,GALLETAS SURTIDO BAGLEY X 390 Gr
35884,CACAO EN POLVO NESQUIK MENOS AZUCAR X 300 Gr,347,393.0,393.0,18,https://www.hiperlibertad.com.ar/cacao-en-polvo-nesquik-menos-azucar-x-300-gr-2/p,CACAO EN POLVO NESQUIK MENOS AZUCAR X 300 Gr
33900,JAB LUX BOT ROS FRANC 3 X125G,438,600.99,600.99,186,https://www.hiperlibertad.com.ar/jab-n-de-tocador-en-barra-lux-botanicals-rosas-francesas-3-x-125-gr-multipack/p,JAB LUX BOT ROS FRANC 3 X125G
31235,GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr,341,390.0,390.0,282,https://www.hiperlibertad.com.ar/galletas-pepitos-original-tripack-x-357-gr/p,GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr
28692,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts,516,794.99,794.99,830,https://www.hiperlibertad.com.ar/papel-higienico-higienol-max-simple-hoja-4-x-80-mts/p,PAPEL HIGIENICO HIGIENOL MAX SIMPLE HOJA 4 X 80 Mts
30078,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,516,356.0,356.0,1389,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U
28052,ARROZ MARIA LARGO FINO X 500 Gr,519,71.99,71.99,38,https://www.hiperlibertad.com.ar/arroz-maria-largo-fino-x-500-gr/p,ARROZ MARIA LARGO FINO X 500 Gr
25881,YOGUR MILKAUT DESCREMADO FRUTILLLA X 900 Gr,534,251.99,251.99,29,https://www.hiperlibertad.com.ar/yogur-milkaut-descremado-frutillla-x-900-gr/p,YOGUR MILKAUT DESCREMADO FRUTILLLA X 900 Gr
23528,BANANA X 1 Kg,555,399.0,399.0,537,https://www.hiperlibertad.com.ar/banana-x-kg-ecomm/p,BANANA X 1 Kg
